title,0,1,2,3,4,5,6,7,8,9
"Lock, Stock and Two Smoking Barrels",125.0,2.0,172.0,82.0,158.0,0.8707605,0.86908984,0.8539102,0.84825337,0.84367275
Gone with the Wind,43.0,219.0,225.0,51.0,188.0,0.91891086,0.9096541,0.8952324,0.87719816,0.86729807
Die Hard,59.0,158.0,172.0,62.0,15.0,0.8276397,0.8245297,0.82249093,0.818365,0.8044188
L.A. Confidential,42.0,154.0,166.0,79.0,21.0,0.8864772,0.8747499,0.86435604,0.86364037,0.8612561
Some Like It Hot,106.0,51.0,11.0,52.0,69.0,0.8581796,0.85174537,0.83011454,0.827424,0.825759
Unforgiven,199.0,156.0,228.0,8.0,12.0,0.8699061,0.857311,0.8537801,0.8519322,0.8519322
Finding Nemo,193.0,203.0,70.0,94.0,103.0,0.8822701,0.86701185,0.8551427,0.85049593,0.8496375
V for Vendetta,62.0,174.0,172.0,143.0,34.0,0.8815187,0.88076645,0.87151134,0.86576074,0.8636823
Chinatown,72.0,123.0,62.0,30.0,166.0,0.8957354,0.8853984,0.86691535,0.85377866,0.8530228
Warrior,59.0,172.0,62.0,34.0,12.0,0.8995511,0.8914965,0.8903198,0.8877363,0.8875233
Raging Bull,14.0,196.0,68.0,172.0,69.0,0.92135733,0.8898901,0.883904,0.8756188,0.8703518
Downfall,230.0,4.0,68.0,172.0,178.0,0.91722435,0.9130086,0.9120739,0.89745283,0.89251775
The Elephant Man,230.0,172.0,4.0,68.0,128.0,0.85695094,0.85227346,0.84599286,0.84541315,0.84321624
Monty Python and the Holy Grail,193.0,176.0,103.0,34.0,203.0,0.8416505,0.8364872,0.8295795,0.8240516,0.8224176
The Great Escape,34.0,156.0,8.0,12.0,54.0,0.82774425,0.8258743,0.81624824,0.81624824,0.8071734
The Secret in Their Eyes,11.0,51.0,62.0,43.0,52.0,0.8914509,0.88884366,0.88732153,0.8788478,0.8783213
The Bridge on the River Kwai,156.0,110.0,54.0,210.0,43.0,0.8717589,0.84445107,0.84340775,0.843022,0.8416183
Ran,29.0,158.0,119.0,8.0,12.0,0.9057197,0.89913553,0.89773846,0.88071984,0.88071984
For a Few Dollars More,139.0,34.0,13.0,156.0,35.0,0.80110383,0.79214644,0.7901137,0.7873761,0.7842566
All About Eve,62.0,72.0,51.0,172.0,54.0,0.84956694,0.83537185,0.8332936,0.83018744,0.8300974
Rashomon,79.0,198.0,42.0,29.0,166.0,1.0031878,0.90379804,0.9019583,0.898799,0.8959445
Klaus,193.0,103.0,97.0,66.0,94.0,0.8366624,0.823094,0.81654346,0.80943185,0.80477667
The Treasure of the Sierra Madre,228.0,34.0,8.0,12.0,54.0,0.9061623,0.90586275,0.9026205,0.9026205,0.88575304
Dial M for Murder,49.0,188.0,55.0,32.0,166.0,0.8628267,0.81976783,0.81934303,0.8158698,0.8053206
Yojimbo,29.0,151.0,79.0,154.0,172.0,0.9332157,0.89913553,0.8942994,0.89424133,0.8939358
Tokyo Story,219.0,188.0,8.0,12.0,62.0,0.81848097,0.8156818,0.8076637,0.8076637,0.80666506
Children of Heaven,28.0,196.0,11.0,62.0,34.0,0.8538868,0.85100836,0.83347696,0.82687396,0.82170427
To Be or Not to Be,43.0,135.0,193.0,219.0,51.0,0.85403883,0.8511904,0.84160936,0.84052694,0.8377042
The Passion of Joan of Arc,230.0,4.0,172.0,68.0,145.0,0.8724263,0.8640635,0.8483186,0.84780204,0.84162766
The Wages of Fear,228.0,188.0,11.0,54.0,72.0,0.85248846,0.84885824,0.8375033,0.8371793,0.83664584
The Help,149.0,62.0,219.0,172.0,11.0,0.8219948,0.8168677,0.8149183,0.8071861,0.80664146
Rocky,224.0,199.0,62.0,51.0,8.0,0.83193326,0.8295649,0.82846457,0.8277861,0.82429963
Prisoners,79.0,154.0,198.0,21.0,72.0,0.9008151,0.8959445,0.8948666,0.8828941,0.8799603
"Three Billboards Outside Ebbing, Missouri",79.0,82.0,154.0,226.0,166.0,0.89006096,0.8815778,0.8683884,0.86568457,0.8627841
Stand by Me,8.0,12.0,156.0,34.0,228.0,0.82653534,0.82653534,0.82094336,0.81991136,0.81974983
Pirates of the Caribbean: The Curse of the Black Pearl,54.0,8.0,12.0,60.0,34.0,0.858438,0.8562909,0.8562909,0.85360867,0.85095394
Mad Max: Fury Road,60.0,34.0,143.0,64.0,63.0,0.84270644,0.8288497,0.8254391,0.8251491,0.81793386
Catch Me If You Can,4.0,178.0,69.0,230.0,113.0,0.8979818,0.8930459,0.88370913,0.8818951,0.87858903
Ford v Ferrari,8.0,12.0,62.0,4.0,34.0,0.92313397,0.92313397,0.9203652,0.9156595,0.9104456
Hacksaw Ridge,4.0,58.0,145.0,68.0,230.0,0.90173596,0.89340526,0.8886659,0.88757646,0.88595766
Blade Runner,172.0,34.0,62.0,195.0,15.0,0.90979,0.9061737,0.90055543,0.8909804,0.8870667
Gone Girl,72.0,188.0,21.0,62.0,142.0,0.8720295,0.85539275,0.84644896,0.84424645,0.8409834
The Grand Budapest Hotel,193.0,97.0,35.0,181.0,179.0,0.88693166,0.86298406,0.85637546,0.8436351,0.8429855
Harry Potter and the Deathly Hallows: Part 2,191.0,28.0,34.0,114.0,70.0,0.860529,0.86013484,0.8400984,0.8341873,0.83407855
Spotlight,4.0,171.0,145.0,14.0,215.0,0.8958317,0.8930459,0.89251775,0.8886688,0.8869516
The Big Lebowski,193.0,82.0,226.0,97.0,124.0,0.8707858,0.85192674,0.8487562,0.8449018,0.84391165
Platoon,225.0,219.0,93.0,43.0,110.0,0.86871743,0.8629155,0.860724,0.8478904,0.8473149
Ratatouille,193.0,97.0,103.0,203.0,94.0,0.90219074,0.89889914,0.87105757,0.85658926,0.8551126
The Exorcist,61.0,219.0,129.0,225.0,11.0,0.7809945,0.77265084,0.7723711,0.76879466,0.7670056
12 Years a Slave,4.0,145.0,68.0,230.0,172.0,0.88756865,0.8808425,0.87619364,0.8744398,0.85285217
The Terminator,24.0,64.0,174.0,60.0,15.0,0.89612275,0.82733685,0.81846786,0.8108778,0.8084701
Jaws,188.0,193.0,63.0,228.0,34.0,0.82415116,0.8185895,0.80942154,0.8077509,0.8065587
Fargo,179.0,157.0,218.0,105.0,15.0,0.84289426,0.7991638,0.7981886,0.7956857,0.7945423
Room,11.0,188.0,72.0,55.0,28.0,0.8453283,0.8401673,0.8367928,0.82997537,0.82788783
The Handmaiden,62.0,11.0,219.0,43.0,224.0,0.90410787,0.89920914,0.89589816,0.89102834,0.8848923
Ben-Hur,219.0,12.0,8.0,228.0,34.0,0.84326255,0.8297544,0.8297544,0.81798667,0.81610215
Dead Poets Society,132.0,226.0,82.0,193.0,34.0,0.84725124,0.826811,0.82630825,0.8208239,0.81763136
The Wizard of Oz,28.0,177.0,34.0,196.0,70.0,0.86143684,0.860529,0.84603685,0.83019245,0.82941055
Into the Wild,96.0,8.0,12.0,69.0,68.0,0.86587703,0.8547493,0.8547493,0.85137266,0.850636
Inside Out,97.0,203.0,181.0,103.0,176.0,0.9645139,0.92697257,0.90219074,0.89708984,0.88693166
The Deer Hunter,43.0,225.0,93.0,219.0,20.0,0.86238575,0.8623017,0.858211,0.85807437,0.85049975
Logan,172.0,174.0,12.0,8.0,15.0,0.8987164,0.8909804,0.88261616,0.88261616,0.8726989
The Sound of Music,28.0,69.0,144.0,172.0,4.0,0.8926303,0.890797,0.8898901,0.8847134,0.8831347
Trainspotting,225.0,34.0,69.0,172.0,219.0,0.8328699,0.8233585,0.8233331,0.8191676,0.8191085
Memories of Murder,154.0,166.0,79.0,42.0,21.0,0.90379804,0.8948666,0.89192367,0.8902897,0.8837789
Million Dollar Baby,139.0,224.0,172.0,12.0,8.0,0.8699061,0.8549075,0.850253,0.8488749,0.8488749
Before Sunrise,213.0,219.0,43.0,188.0,224.0,0.9479669,0.86785066,0.8651228,0.85807157,0.85167146
How to Train Your Dragon,63.0,34.0,193.0,103.0,8.0,0.8617636,0.85138464,0.84138656,0.8323926,0.8310573
Groundhog Day,51.0,82.0,226.0,27.0,22.0,0.8351885,0.8297874,0.8227213,0.817393,0.8173766
"Monsters, Inc.",193.0,97.0,140.0,94.0,181.0,0.92697257,0.9065841,0.86701185,0.8591858,0.85658926
Rush,172.0,145.0,8.0,12.0,196.0,0.9005056,0.87072235,0.8622942,0.8622942,0.86209077
It Happened One Night,226.0,27.0,43.0,225.0,219.0,0.8393141,0.8315401,0.8307425,0.8300243,0.82481396
Gran Torino,139.0,199.0,51.0,172.0,68.0,0.82281756,0.8215247,0.8115798,0.80737674,0.79560673
The Third Man,102.0,72.0,209.0,105.0,123.0,0.81923,0.8070251,0.7939817,0.79057217,0.7881912
Wild Tales,226.0,188.0,27.0,158.0,51.0,0.82721245,0.82582706,0.82540786,0.824423,0.82424635
Rebecca,62.0,154.0,30.0,21.0,166.0,0.88031256,0.8628884,0.8620848,0.86067706,0.85743666
Barry Lyndon,93.0,110.0,219.0,156.0,54.0,0.8872999,0.8748206,0.87081987,0.86864626,0.8672514
Cool Hand Luke,82.0,26.0,4.0,69.0,171.0,0.86398536,0.85422206,0.8384159,0.8372431,0.83366674
My Neighbor Totoro,193.0,70.0,131.0,28.0,103.0,0.8514202,0.8268158,0.824584,0.8227904,0.8185419
Before Sunset,200.0,219.0,43.0,188.0,224.0,0.9479669,0.86785066,0.8651228,0.85807157,0.85167146
Network,172.0,54.0,12.0,8.0,69.0,0.805687,0.79668343,0.7945217,0.7945217,0.7874656
In the Name of the Father,178.0,171.0,4.0,14.0,230.0,0.8869516,0.867085,0.8611518,0.85943604,0.8592346
The Seventh Seal,224.0,219.0,28.0,67.0,228.0,0.8497378,0.84655106,0.84433717,0.8387488,0.83275664
The Iron Giant,63.0,227.0,54.0,193.0,8.0,0.8716669,0.8447212,0.84319055,0.84118325,0.83666134
On the Waterfront,188.0,26.0,55.0,166.0,72.0,0.8796803,0.86262923,0.8593973,0.85864073,0.85699123
The Best Years of Our Lives,43.0,224.0,225.0,135.0,110.0,0.9276823,0.9261993,0.91454893,0.9096541,0.8987794
Amores Perros,188.0,72.0,69.0,172.0,28.0,0.8665986,0.85738176,0.8518736,0.84990305,0.84942347
Persona,224.0,188.0,72.0,55.0,219.0,0.90665907,0.8572485,0.8559872,0.8553923,0.8369585
Hotel Rwanda,230.0,4.0,68.0,58.0,145.0,0.8991245,0.8919996,0.8797275,0.8780138,0.87711
The Grapes of Wrath,172.0,62.0,174.0,143.0,225.0,0.81998104,0.81582457,0.81367743,0.81078976,0.80886245
Wild Strawberries,219.0,221.0,43.0,11.0,188.0,0.9261993,0.90665907,0.8994756,0.89525294,0.8848923
The Battle of Algiers,219.0,43.0,135.0,110.0,48.0,0.91454893,0.9103267,0.8952324,0.88984305,0.87840575
Mr. Smith Goes to Washington,28.0,51.0,82.0,79.0,27.0,0.90928364,0.89637554,0.8864528,0.8857043,0.8800113
The Incredibles,63.0,217.0,34.0,193.0,181.0,0.84729433,0.8447212,0.82805246,0.82416785,0.8150217
Dances with Wolves,156.0,12.0,8.0,193.0,34.0,0.9061623,0.8819166,0.8819166,0.87391317,0.8732101
Aladdin,193.0,181.0,103.0,97.0,94.0,0.84048545,0.82672095,0.817695,0.81654465,0.802596
Gandhi,68.0,4.0,145.0,172.0,222.0,0.9368422,0.9251975,0.91722435,0.91006845,0.8991245
Life of Brian,147.0,193.0,226.0,179.0,4.0,0.8094733,0.78488255,0.7818303,0.7797136,0.77426016
